IID	Region	FirstAA	LastAA	Closest	PcntC	BestAvg	PcntAvg	BestOdds	OddsB	2ndBestOdds	Odds2B	BestOddsInf	OddsBInf	2ndBestOddsInf	Odds2ndBInf	C	A	Odds	OddsInf	Call
45481	East Africa	1	334	A	1.4	X22	9.5	A	-106	X22	-124	A	-15	X22	-19	A	X22	A	A	A
45481	East Africa	1	334	A	1.4	X22	9.5	A	-106	X22	-124	A	-15	X22	-19	A	X22	A	A	A
89668	North America	38	247	A	8	A	10.5	A	-90	X22	-105	A	-5	X22	-8	A	A	A	A	A
89668	North America	38	247	A	8	A	10.5	A	-90	X22	-105	A	-5	X22	-8	A	A	A	A	A
107949	North America	1	305	A	6.1	A	9	A	-87	X22	-122	A	-7	X16	-17	A	A	A	A	A
176630	East Africa	1	320	A	4.9	A	8	A	-75	X09	-114	A	-9	X01	-17	A	A	A	A	A
187652	East Africa	1	343	A	5.3	A	8.3	A	-81	A2	-113	A	-9	X01	-19	A	A	A	A	A
187838	East Africa	1	320	A	6.2	X22	8.5	A	-87	X22	-111	A	-7	X22	-10	A	X22	A	A	A
193574		1	333	A	6.7	X22	8.5	A	-99	X22	-109	A	-12	X22	-16	A	X22	A	A	A
193578		1	332	A	7.8	X22	9.3	A	-92	X22	-116	A	-10	X22	-17	A	X22	A	A	A
193580		1	334	A	9	X22	11.2	A	-124	X37	-141	A	-13	X22	-19	A	X22	A	A	A
247265	Europe	1	244	A	7.4	X53	9.5	A	-86	X09	-87	A	-12	X09	-14	A	X53	A	A	A
247387	Europe	1	244	A	4.1	A	7	A	-40	X01	-65	A	-12	X22	-17	A	A	A	A	A
248436	North America	1	302	A	5.3	A	8	A	-68	X01	-96	A	-10	X01	-16	A	A	A	A	A
248844	Europe	1	238	A	5	A	7.4	A	-45	X09	-77	A	-10	A2	-19	A	A	A	A	A
248888	Europe	1	238	A	5.2	A	7.7	A	-47	X09	-79	A	-11	X16	-21	A	A	A	A	A
249573	North America	1	229	A	4.8	X15	7.5	A	-57	X01	-70	A	-7	X22	-11	A	X15	A	A	A
249593	North America	1	229	A	5.3	X59	8	A	-55	X01	-76	A	-11	A2	-18	A	X59	A	A	A
249603	North America	1	229	A	4.7	X15	7.3	A	-58	X01	-70	A	-4	X22	-6	A	X15	A	A	A
249667	North America	1	229	A	4.6	X15	7.4	A	-50	X01	-62	A	-7	X22	-11	A	X15	A	A	A
249785	North America	1	229	A	4	X15	6.5	A	-44	X01	-56	A	-9	X22	-11	A	X15	A	A	A
249871	North America	1	229	A	4.8	A	7.2	A	-39	X16	-62	A	-12	D	-22	A	A	A	A	A
249897	North America	1	229	A	3.7	A	6.5	A	-39	X16	-62	A	-7	A2	-13	A	A	A	A	A
249945	North America	1	229	A	3.9	X15	6.3	A	-43	X01	-55	A	-9	X22	-13	A	X15	A	A	A
250124	East Africa	1	321	A	5.4	A	8.4	A	-76	X02	-110	A	-13	X16	-22	A	A	A	A	A
250128	East Africa	1	321	A	5.1	A	8.2	A	-72	X01	-107	A	-8	X22	-19	A	A	A	A	A
250130	East Africa	1	321	A	4.8	X22	7	A	-57	X22	-84	A	-15	X22	-24	A	X22	A	A	A
250132	East Africa	1	321	A	5	A	7.6	A	-69	X22	-110	A	-9	A2	-20	A	A	A	A	A
250138	East Africa	1	321	A	4.1	A	7	A	-61	X01	-88	A	-9	X01	-12	A	A	A	A	A
250140	East Africa	1	321	A	4.8	A	7.4	A	-65	X01	-102	A	-10	X15	-20	A	A	A	A	A
250142	East Africa	1	321	A	4.6	A	7.8	A	-70	X01	-103	A	-13	X01	-22	A	A	A	A	A
250146	East Africa	1	321	A	6.1	X22	8.5	A	-80	X22	-114	A	-11	X01	-21	A	X22	A	A	A
250148	East Africa	1	321	A	4.5	A	7.2	A	-56	X01	-88	A	-8	X22	-17	A	A	A	A	A
250156	East Africa	1	321	A	4.7	X22	6.6	A	-56	X01	-81	A	-14	X22	-25	A	X22	A	A	A
250158	East Africa	1	321	A	5.3	A	8.1	A	-71	X01	-107	A	-8	X01	-18	A	A	A	A	A
250164	East Africa	1	321	A	4.9	A	7.7	A	-63	X01	-95	A	-13	A2	-22	A	A	A	A	A
250166	East Africa	1	321	A	4.6	A	7.8	A	-66	X09	-102	A	-9	X22	-19	A	A	A	A	A
250170	East Africa	1	321	A	5.4	X59	7.5	A	-58	X01	-88	A	-13	X01	-18	A	X59	A	A	A
250172	East Africa	1	321	A	5.6	A	7.8	A	-73	X01	-103	A	-9	X16	-17	A	A	A	A	A
250174	East Africa	1	321	A	5	A	8.9	A	-82	X01	-121	A	-14	X01	-26	A	A	A	A	A
250176	East Africa	1	321	A	5.8	X15	7.8	A	-74	X01	-94	A	-10	X22	-17	A	X15	A	A	A
250178	East Africa	1	321	A	4.4	A	6.9	A	-52	X01	-91	A	-11	X01	-18	A	A	A	A	A
250184	East Africa	1	321	A	4.2	X22	6.3	A	-47	X22	-77	A	-10	X22	-19	A	X22	A	A	A
250186	East Africa	1	321	A	4.1	A	6.8	A	-53	X01	-81	A	-8	X01	-15	A	A	A	A	A
250192	East Africa	1	321	A	4.7	X22	7.3	A	-62	X22	-89	A	-9	X22	-16	A	X22	A	A	A
250194	East Africa	1	321	A	5.2	X22	7.7	A	-63	X09	-98	A	-14	X22	-24	A	X22	A	A	A
250196	East Africa	1	321	A	7.1	X35	9.2	A	-87	D	-108	A	-24	D	-24	A	X35	A	A	A
250198	East Africa	1	321	A	4.9	X35	7.9	A	-67	D	-82	A	-22	D	-23	A	X35	A	A	A
250200	East Africa	1	321	A	5.3	A	8.7	A	-83	A2	-122	A	-11	A2	-22	A	A	A	A	A
250202	East Africa	1	321	A	4.9	A	7.1	A	-61	X22	-96	A	-10	X01	-20	A	A	A	A	A
250206	East Africa	1	321	A	4.7	A	7.1	A	-55	X22	-90	A	-10	X22	-20	A	A	A	A	A
250210	East Africa	1	321	A	4.5	X22	7.9	A	-66	D	-87	A	-22	D	-29	A	X22	A	A	A
250214	East Africa	1	321	A	6.3	A	8.9	A	-85	X01	-116	A	-7	X01	-15	A	A	A	A	A
250214	East Africa	1	321	A	6.3	A	8.9	A	-85	X01	-116	A	-7	X01	-15	A	A	A	A	A
250216	East Africa	1	321	A	5.9	A	8.7	A	-84	X01	-116	A	-8	X01	-16	A	A	A	A	A
250218	East Africa	1	321	A	4.9	A	7.8	A	-75	X22	-111	A	-10	X15	-20	A	A	A	A	A
250222	East Africa	1	321	A	4.8	A	7.4	A	-63	X01	-104	A	-8	X01	-18	A	A	A	A	A
250230	East Africa	1	321	A	5.3	A	7.8	A	-72	X09	-108	A	-11	X22	-19	A	A	A	A	A
250232	East Africa	1	321	A	5.4	A	7.7	A	-73	X01	-105	A	-9	A2	-16	A	A	A	A	A
250236	East Africa	1	321	A	7.5	X22	8.8	A	-93	C	-102	A	-18	X10	-25	A	X22	A	A	A
250238	East Africa	1	321	A	4.7	A	7.5	A	-57	X09	-95	A	-16	A2	-27	A	A	A	A	A
250240	East Africa	1	321	A	4.7	X22	6.9	A	-58	X22	-88	A	-9	X22	-12	A	X22	A	A	A
250246	East Africa	1	321	A	4.2	A	7.4	A	-66	X01	-99	A	-8	X01	-16	A	A	A	A	A
250248	East Africa	1	321	A	4.7	A	6.8	A	-55	X01	-86	A	-7	X01	-15	A	A	A	A	A
250256	East Africa	1	321	A	4.4	A	6.8	A	-47	X01	-79	A	-11	X01	-16	A	A	A	A	A
250260	East Africa	1	321	A	4.3	A	7	A	-55	X22	-88	A	-10	X01	-18	A	A	A	A	A
250262	East Africa	1	320	A	4.2	X22	7	A	-53	X22	-81	A	-13	X22	-19	A	X22	A	A	A
